customer_id,age,gender,income_bracket,region,household_size,tenure,payment_history,monthly_consumption,customer_satisfaction_score,complaints_last_year,churn_risk_score,flag_unsatisfied,treatment,effect,churn_prob,churned,post_intervention_satisfaction
0,45.960569836134795,M,bajo,urbano,2,8.00551624151016,1,48.858801877780316,5.221073978611467,4,0.10986247032239595,1,0,0.3,0.10986247032239595,0,5.443735804652704
1,38.340828385945784,M,medio,urbano,3,6.450702190908288,0,56.75462516973822,6.088374309185617,0,0.1580690826898133,0,1,0.3,0.1106483578828693,0,6.773708317195992
2,47.77226245720831,M,alto,urbano,2,7.502395286293461,1,70.29961625992668,6.8902816481377345,2,0.052696898412061335,0,1,0.3,0.036887828888442935,0,7.924775397393076
3,58.2763582768963,M,medio,urbano,1,11.838633688007077,1,55.60356760556326,5.12506406803539,1,0.07172308194470245,0,0,0.3,0.07172308194470245,0,5.303159781538448
4,37.19015950331997,F,bajo,urbano,2,6.836628383866178,0,47.79886620623145,7.2492107055469805,1,0.0648750012166037,0,1,0.3,0.045412500851622586,0,8.065165778829734
5,37.19035651660983,M,medio,urbano,3,6.620180143081229,0,49.36532807676224,7.577767257635281,1,0.12827272336775927,1,0,0.3,0.12827272336775927,0,7.117124600792074
6,58.9505537860887,M,medio,urbano,2,12.885954126176468,2,54.26238564363888,4.097465658540425,3,0.27849621551273673,0,0,0.3,0.27849621551273673,0,4.280829854852198
7,49.20921674983491,F,medio,rural,3,6.927821722120972,0,70.603215753633,1.0,1,0.33563315278213424,0,0,0.3,0.33563315278213424,0,1.0
8,34.366307368780575,M,medio,urbano,2,4.046568171829358,2,54.54796432279558,5.513715645382188,1,0.16285323250209807,0,0,0.3,0.16285323250209807,0,5.990839908144668
9,46.51072052303158,F,bajo,urbano,2,8.759754659268216,1,44.93538900217226,5.133045058749824,0,0.14308432030189927,0,0,0.3,0.14308432030189927,0,4.413469785318428
10,34.43898768625046,F,medio,rural,3,3.3524360620700007,3,61.38939945144155,2.7017006162006196,5,0.6122693973052897,1,0,0.2,0.6122693973052897,1,2.5480832290790025
11,34.411242957156915,M,medio,urbano,2,5.327071607872886,0,60.82355335228926,8.281744290088689,1,0.11688999338381606,0,0,0.3,0.11688999338381606,0,8.416349766029766
12,42.90354725879241,F,alto,rural,1,3.900387530715758,0,77.13186227182838,5.61975264000377,2,0.09936332674983753,0,1,0.3,0.06955432872488626,0,6.884840835209941
